year,n_top20,n_21_100,mean_polkw_top20,mean_polkw_21_100,gap_polkw,share_any_top20,share_any_21_100,gap_any,mean_polshare_top20,mean_polshare_21_100,gap_polshare,mean_totalkw_top20,mean_totalkw_21_100,gap_totalkw,mean_metric_top20,mean_metric_21_100,median_metric_top20,median_metric_21_100,n_top50,n_51_100,mean_polkw_top50,mean_polkw_51_100,gap_polkw_50,share_any_top50,share_any_51_100
2008,20,80,0.35,0.9875,-0.6375000000000001,0.3,0.4625,-0.16250000000000003,0.031545720361509835,0.07404696118650692,-0.04250124082499708,13.85,11.7625,2.0875000000000004,490133016.9,124724252.4875,419215543.5,107655079.0,50,50,0.74,0.98,-0.24,0.4,0.46
2009,20,80,0.7,0.6625,0.03749999999999998,0.3,0.2625,0.03749999999999998,0.04801470588235294,0.05275940068703226,-0.004744694804679324,12.95,10.25,2.6999999999999993,649775702.4,117003961.825,456225420.5,96234285.5,50,50,0.84,0.5,0.33999999999999997,0.3,0.24
2010,20,80,0.45,0.8,-0.35000000000000003,0.4,0.3625,0.03750000000000003,0.027921081111870583,0.08089593311100665,-0.05297485199913607,14.2,9.3625,4.837499999999999,563982816.05,135183649.3875,494047232.0,105232933.0,50,50,0.78,0.68,0.09999999999999998,0.4,0.34
2011,20,80,1.2,0.7125,0.48749999999999993,0.4,0.375,0.025000000000000022,0.08172438672438673,0.06180642170518532,0.019917965019201407,11.85,12.075,-0.22499999999999964,604699857.5,138696333.525,557419936.5,132998393.0,50,50,0.78,0.84,-0.05999999999999994,0.36,0.4
2012,20,80,0.85,0.8,0.04999999999999993,0.5,0.375,0.125,0.06335657795506867,0.06478283274365933,-0.001426254788590653,16.65,11.225,5.424999999999999,693196895.0,141293279.225,616521670.5,114840525.5,50,50,0.98,0.64,0.33999999999999997,0.46,0.34
2013,20,80,1.0,0.6625,0.3375,0.5,0.35,0.15000000000000002,0.0738218031968032,0.07225775613275613,0.0015640470640470722,11.95,8.9375,3.0124999999999993,661728958.15,148801019.125,615993904.0,120029544.0,50,50,0.78,0.68,0.09999999999999998,0.36,0.4
2014,20,80,0.8,1.025,-0.22499999999999987,0.55,0.4125,0.13750000000000007,0.06914242007992008,0.08727393985443518,-0.018131519774515104,13.8,10.5875,3.2125000000000004,649129117.9,161854451.8,679778517.0,127032059.5,50,50,1.08,0.88,0.20000000000000007,0.54,0.34
2015,20,80,0.4,0.9,-0.5,0.35,0.3125,0.03749999999999998,0.049585137085137086,0.07272990039903457,-0.023144763313897483,10.9,9.725,1.1750000000000007,810582746.6,135166092.6625,600803064.0,106903310.0,50,50,0.7,0.9,-0.20000000000000007,0.32,0.32
2016,20,80,0.4,0.7125,-0.3125,0.3,0.35,-0.04999999999999999,0.02429195804195804,0.07497720900100929,-0.050685250959051256,12.3,9.7375,2.5625,732190702.95,170071207.525,718853683.0,146282086.5,50,50,0.6,0.7,-0.09999999999999998,0.34,0.34
2017,20,80,0.6,0.7625,-0.16249999999999998,0.25,0.3625,-0.11249999999999999,0.04356166709107885,0.08011656869532256,-0.03655490160424371,11.25,9.6625,1.5875000000000004,822353687.75,167403439.225,811690150.5,141356930.5,50,50,0.58,0.88,-0.30000000000000004,0.28,0.4
2018,20,80,0.4,0.7875,-0.38749999999999996,0.25,0.4125,-0.16249999999999998,0.032653186274509804,0.0697692315721008,-0.037116045297590994,12.7,10.125,2.5749999999999993,816636064.2,151883371.175,638765020.0,98391758.0,50,50,0.54,0.88,-0.33999999999999997,0.32,0.44
2019,20,80,0.3,0.6,-0.3,0.2,0.35,-0.14999999999999997,0.030024509803921566,0.061965848764149976,-0.03194133896022841,11.1,10.125,0.9749999999999996,916626030.0,135753585.75,780896462.5,114344270.0,50,50,0.52,0.56,-0.040000000000000036,0.32,0.32
2020,20,80,1.1,0.3875,0.7125000000000001,0.35,0.275,0.07499999999999996,0.07782821043690609,0.09099023600668338,-0.013162025569777289,11.25,7.075,4.175,212321746.5,17356942.6625,183800518.0,11692097.0,50,50,0.74,0.32,0.42,0.36,0.22
2021,20,80,0.65,0.55,0.09999999999999998,0.35,0.3375,0.012499999999999956,0.0927275699129246,0.05658816877566878,0.036139401137255826,10.35,9.15,1.1999999999999993,528994747.55,65444152.275,404032449.5,41266917.5,50,50,0.5,0.64,-0.14,0.34,0.34
2022,20,80,0.6,0.5625,0.03749999999999998,0.3,0.3625,-0.0625,0.07063492063492063,0.05323245974871362,0.017402460886207012,9.5,10.95,-1.4499999999999993,681796705.75,69381048.1875,471215181.5,47430650.5,50,50,0.52,0.62,-0.09999999999999998,0.34,0.36
2023,20,80,0.4,0.425,-0.024999999999999967,0.2,0.2625,-0.0625,0.02633333333333333,0.04855910021351198,-0.02222576688017865,11.7,10.225,1.4749999999999996,604041982.7,46763185.625,524973471.5,24087498.0,50,50,0.44,0.4,0.03999999999999998,0.28,0.22
