keyword,count,is_political,matched_rule
capitalism,27,True,inequality_corruption_elites
15th_century,27,False,
religion_and_supernatural,27,False,
blind,27,False,
highway,27,False,
pacific_war,27,True,war_security_intel
police_operation,27,True,migration_police_civilrights
orgy,27,False,
human_trafficking,27,False,
mute,27,False,
based_on_cartoon,27,False,
composer,27,False,
mistress,27,False,
cinepanettone,27,False,
crime_fighter,26,False,
panic,26,False,
vision,26,False,
bratva_(russian_mafia),26,False,
tunnel,26,False,
mouse,26,False,
phone_call,26,False,
power_outage,26,False,
iraq_war,26,True,war_security_intel
baltimore,26,False,
himalaya_mountain_range,26,False,
fish,26,False,
valentine's_day,26,False,
xenophobia,26,False,
tiger,26,False,
heart_attack,26,False,
literature,26,False,
fbi_agent,26,True,war_security_intel
alps_mountains,26,False,
bombing,26,False,
fashion_designer,26,False,
christmas_tree,26,False,
library,26,False,
assault,26,False,
smoking,26,False,
divorcee,26,False,
past,26,False,
ex-boyfriend,26,False,
online_dating,26,False,
memories,26,False,
family_vacation,26,False,
loyalty,26,False,
child_prodigy,26,False,
life_and_death,26,False,
growing_up,26,False,
belgium,26,False,
country_house,26,False,
slave,26,False,
christmas_eve,26,False,
conflict,26,False,
muslim,26,False,
technicolor,26,False,
witness,26,False,
pop_culture,26,False,
unfaithfulness,26,False,
axe_murder,26,False,
communist,26,True,inequality_corruption_elites
giallo,26,False,
genocide,25,False,
dual_identity,25,False,
burglar,25,False,
time,25,False,
sorcerer,25,False,
on_the_road,25,False,
housekeeper,25,False,
grave,25,False,
united_kingdom,25,False,
captain,25,False,
bunker,25,False,
deaf,25,False,
frankenstein,25,False,
sailor,25,False,
hacking,25,False,
grandmother,25,False,
beating,25,False,
netherlands,25,False,
disease,25,False,
psycho,25,False,
sexism,25,False,
yacht,25,False,
gypsy,25,False,
ex_soldier,25,True,war_security_intel
horror_spoof,25,False,
love_letter,25,False,
death_of_wife,25,False,
pedophilia,25,False,
catholic_church,25,False,
bachelor,25,False,
workaholic,25,False,
séance,25,False,
vatican,25,False,
evil_spirit,25,False,
secret_service,25,True,war_security_intel
shanghai,25,False,
human_sacrifice,25,False,
pot_smoking,25,False,
evil_doll,25,False,
punishment,25,False,
hostage_situation,25,True,war_security_intel
mafia_boss,25,False,
disfigurement,25,False,
apache_nation,25,False,
newlywed,25,False,
ax,25,False,
behind_the_scenes,25,False,
montana,25,False,
french_noir,25,False,
abusive_father,25,False,
nature_documentary,25,False,
coach,25,False,
middle_east,24,False,
plantation,24,False,
hope,24,False,
man_vs_machine,24,False,
guitar,24,False,
political_thriller,24,True,institutions_elections_law
hostility,24,False,
british_army,24,True,war_security_intel
partner,24,False,
nostalgia,24,False,
factory_worker,24,True,labor_collective_action
parasite,24,False,
flying_saucer,24,False,
illegal_immigration,24,True,migration_police_civilrights
lying,24,False,
satanic_cult,24,False,
dysfunctional_marriage,24,False,
paranormal_phenomena,24,False,
wuxia,24,False,
prayer,24,False,
old_man,24,False,
poker,24,False,
hand_to_hand_combat,24,True,war_security_intel
creature_feature,24,False,
illegal_drugs,24,False,
imprisonment,24,False,
mixed_martial_arts,24,False,
witness_protection,24,False,
american_abroad,24,False,
