keyword,count,is_political,matched_rule
post-traumatic_stress_disorder_(ptsd),244,False,
action_hero,243,False,
18th_century,243,False,
hero,243,False,
maid,243,False,
youtube,243,False,
stepdaughter,243,False,
tv_special,243,False,
river,242,False,
boat,242,False,
rap_music,242,False,
indie,242,False,
wilderness,241,False,
prisoner,241,False,
unfaithful_wife,241,False,
alpinism,241,False,
swimming_pool,240,False,
explosion,240,False,
assassination,240,False,
environmental_documentary,240,False,
pennsylvania,239,False,
norway,239,False,
blonde,239,False,
homelessness,239,False,
professor,238,False,
adoption,238,False,
cooking,238,False,
political_documentary,238,True,institutions_elections_law
fantasy,237,False,
anthropomorphism,237,False,
model,237,False,
anal,237,False,
forbidden_love,236,False,
film_in_film,236,False,
portugal,236,False,
iran,236,False,
boxer,235,False,
netherlands,235,False,
historical_figure,235,False,
rock_concert,235,False,
las_vegas,234,False,
denmark,234,False,
sketch_comedy,234,False,
vigilante,233,False,
hallucination,233,False,
stepfather,233,False,
k-pop,233,False,
snowboarding,233,False,
sex_outdoors,233,False,
nasa,231,False,
countryside,231,False,
music_festival,231,False,
youth,231,False,
dragon,230,False,
screwball_comedy,230,False,
domestic_violence,229,False,
country_music,229,False,
body_horror,229,False,
jail,228,False,
schoolgirl_uniform,227,False,
slavery,226,False,
1910s,226,False,
dying_and_death,226,False,
brothel,226,False,
femme_fatale,226,False,
birthday,226,False,
color,226,False,
car_crash,225,False,
astronaut,225,False,
courtroom,224,False,
poet,224,False,
mask,223,False,
palestine,223,False,
prince,222,False,
community,222,False,
funny,221,False,
virtual_reality,220,False,
switzerland,220,False,
colonialism,220,False,
handjob,220,False,
undercover,219,False,
museum,219,False,
mecha,219,False,
breast,219,False,
illness,218,False,
new_york,217,False,
submarine,217,False,
brazilian_cinema,217,False,
student,217,False,
ass_to_mouth,217,False,
spirituality,216,False,
battle,215,True,war_security_intel
cocaine,215,False,
rock_climbing,215,False,
cartoon_cat,215,False,
naturism,215,False,
falling_in_love,214,False,
hungary,214,False,
violence,214,False,
new_year's_eve,214,False,
family_secrets,213,False,
action,213,False,
police_brutality,212,True,migration_police_civilrights
insanity,212,False,
taxi_driver,212,False,
family_history,212,False,
stage_play,211,False,
horror_anthology,211,False,
bisexual_pornography,211,False,
sexual_abuse,210,False,
time,209,False,
work,209,False,
mythology,209,False,
demonic_possession,209,False,
women,209,False,
trans,209,False,
bear,208,False,
virus,208,False,
miniseries,208,False,
fisting,208,False,
italian,207,False,
hunting,207,False,
cougar,207,False,
king,206,False,
mountain_climbing,205,False,
comic_book,205,False,
exorcism,205,False,
moon,205,False,
social_issues,205,False,
radio,204,False,
treasure,204,False,
melancholy,204,False,
ex-con,204,False,
spacecraft,203,False,
space_travel,203,False,
wife,203,False,
computer,203,False,
teen_movie,203,False,
dark,203,False,
smuggling_(contraband),202,False,
mutant,202,False,
male_bonding,202,False,
mma,202,False,
newspaper,201,False,
extreme_sports,201,False,
house,201,False,
tradition,201,False,
chile,201,False,
bigfoot,201,False,
redemption,200,False,
resistance,200,False,
underground,200,False,
roommate,200,False,
greed,200,True,inequality_corruption_elites
sword,199,False,
evil,199,False,
gunfight,199,False,
spiritual,199,False,
existentialism,198,False,
god,198,False,
cemetery,198,False,
festival,198,False,
debt,198,True,economy_finance_crisis
europe,197,False,
alzheimer's_disease,197,False,
vietnam,197,False,
secretary,197,False,
farmer,196,False,
theft,196,False,
racing,196,False,
journalism,196,False,
17th_century,196,False,
adaptation,196,False,
fish,195,False,
lion,194,False,
gothic,194,False,
giant_monster,194,False,
russia,194,False,
migration,194,False,
casino,193,False,
architect,193,False,
capitalism,193,True,inequality_corruption_elites
cycling,193,False,
graffiti,193,False,
on_the_run,192,False,
accident,192,False,
grandmother,192,False,
literature,192,False,
piano,192,False,
usa_president,191,True,institutions_elections_law
live_action_and_animation,191,False,
underwater,191,False,
childhood_friends,191,False,
ritual,191,False,
stepsister,191,False,
activism,191,True,labor_collective_action
edited_from_tv_series,191,False,
sadism,190,False,
fighting,190,False,
marriage_crisis,190,True,economy_finance_crisis
psychological_horror,190,False,
medieval,190,False,
madrid,190,False,
composer,190,False,
motherhood,189,False,
child_kidnapping,189,False,
psychological,189,False,
gaping,189,False,
prison_escape,188,True,migration_police_civilrights
brother_brother_relationship,188,False,
massachusetts,187,False,
family_conflict,187,False,
women's_prison,187,True,migration_police_civilrights
ecology,187,False,
historical_drama,187,False,
lake,187,False,
narration,186,False,
voyeur,186,False,
freedom,185,False,
unrequited_love,185,False,
party,185,True,institutions_elections_law
yugoslavia,185,False,
cowgirl,185,False,
juvenile_delinquent,184,False,
new_love,184,False,
police_corruption,184,True,inequality_corruption_elites
doppelgänger,184,False,
mobster,183,False,
asian_woman,183,False,
